parent_id,id,uuid,title
13474,13480,00dbe80e-6079-4fe4-8613-71f075b9ee08,Human Movement and Sports Science
13517,13521,1bc4a729-c96b-4ed2-8492-80a809f22c2c,Linguistics
13630,13632,ec77006d-d242-4b12-aa64-d922f1393765,Automotive Engineering
13630,13631,c48b335c-00e2-4c41-8e1f-638d4355ee53,Aerospace Engineering
13493,13498,9b55e5fa-bcad-4ccd-b10b-eb60e138b8d1,Understanding Past Societies
13457,13462,a6655c46-ca27-4580-8820-85cef7f8b756,Environmentally Sustainable Commercial Services and Tourism
13566,13569,0d88024e-7945-4154-bfb5-192e36915cf0,Econometrics
13421,13426,2d0f6366-e2c7-4ba5-a082-4c577c2616c5,Other Mineral Resources (excl. Energy Resources)
13431,13437,fb5b02a3-0bac-48c9-bd64-8a5200f1ed58,Other Mathematical Sciences
13630,13639,4a4f6b67-a410-4b26-91e4-b0ae2abb8767,Geomatic Engineering
13500,13501,0fb060f1-0034-4e1d-9dab-adbac97763c0,"Accounting, Auditing and Accountability"
13369,13371,d2ef892a-a6a9-4f4c-8751-0e7c40abbd6b,Government and Politics
13620,13622,cef6d776-44ef-499b-bac9-2efadcdefb4e,Mining and Extraction of Energy Resources
13415,13419,5f8b199c-6ba4-43a0-8ed6-2c7bf2dead32,Specific Population Health
13500,13505,06f7caed-3621-44c7-a28c-706a5727ea64,Marketing
13453,13454,31fa4857-773d-4720-9df7-92ab6eaa4791,Psychology
13440,13447,62968dc9-5b00-43b8-9ace-0ca8d8a3d22c,Other Animal Production and Animal Primary Products
13566,13570,617d74aa-72c6-497f-a25e-2c1cc03ad29f,Other Economics
13385,13389,5a318b96-0b48-414d-a211-68127ed821ce,"Control of Pests, Diseases and Exotic Species"
13620,13629,d29e961b-38f3-495c-92e6-8c78ba39ccc2,Other Energy
13667,13673,35a1889a-7455-440c-8e9f-48fab902cc11,Other Economic Framework
13421,13422,a00fd3ac-8f80-427d-9557-e44171b7d5b3,Mineral Exploration
13362,13364,42ba8146-1d76-4c59-bd06-64ee3bd3b60d,Building
13493,13499,7d6d4d75-7109-408d-a524-4fc95d6c41c4,Other Cultural Understanding
13376,13380,cfa3891e-c445-4ebf-ba66-c4013ad3b5e3,Fisheries Sciences
13421,13425,8ca19bcd-2fe0-4268-956e-16ee2b4ca5e9,Environmentally Sustainable Mineral Resource Activities
13652,13657,ece912d9-c813-44cf-8d16-d4a17287fb02,Communications Technologies
13603,13604,5ae844dc-469f-4154-9083-85c332ab5ee2,Astronomical and Space Sciences
13509,13515,84ca36be-bc31-492a-bbec-c0b4499a4585,Environmentally Sustainable Construction
13474,13481,5cd9dcb6-f3aa-4696-b9de-02ae484d0b90,Immunology
13509,13514,dac76d16-73b5-4eba-b495-4b134b2d439e,Building Management and Services
